Channel              :,CH1,CH2
Frequency            :,19.90Hz,19.90Hz
Period               :,50.24ms,50.24ms
PK-PK                :,681.3mV,215.6mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,1.250000mV,0.125000mV
Time interval        :,40.00000uS,40.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
230,-552.500000,-40.500000
231,-557.500000,-40.250000
232,-553.750000,-40.000000
233,-556.250000,-39.250000
234,-555.000000,-38.250000
235,-557.500000,-37.000000
236,-555.000000,-36.250000
237,-557.500000,-34.625000
238,-557.500000,-33.750000
239,-557.500000,-32.500000
240,-562.500000,-31.250000
241,-562.500000,-29.875000
242,-563.750000,-28.125000
243,-565.000000,-27.125000
244,-566.250000,-26.500000
245,-566.250000,-25.000000
246,-566.250000,-23.500000
247,-568.750000,-22.875000
248,-567.500000,-21.250000
249,-567.500000,-20.750000
250,-566.250000,-19.500000
251,-575.000000,-18.750000
252,-572.500000,-17.750000
253,-570.000000,-16.750000
254,-571.250000,-16.125000
255,-576.250000,-15.000000
256,-572.500000,-13.500000
257,-576.250000,-12.500000
258,-577.500000,-11.625000
259,-580.000000,-10.625000
260,-580.000000,-9.625000
261,-581.250000,-8.750000
262,-581.250000,-7.375000
263,-582.500000,-6.375000
264,-582.500000,-6.000000
265,-583.750000,-4.625000
266,-586.250000,-3.750000
267,-583.750000,-2.750000
268,-587.500000,-1.625000
269,-587.500000,-1.125000
270,-586.250000,0.375000
271,-590.000000,1.625000
272,-590.000000,2.125000
273,-588.750000,3.125000
274,-592.500000,3.875000
275,-590.000000,5.000000
276,-592.500000,6.000000
277,-595.000000,6.500000
278,-595.000000,7.625000
279,-597.500000,8.625000
280,-596.250000,9.500000
281,-601.250000,10.875000
282,-597.500000,11.875000
283,-600.000000,13.000000
284,-605.000000,13.625000
285,-606.250000,14.125000
286,-602.500000,14.875000
287,-601.250000,15.875000
288,-606.250000,17.000000
289,-608.750000,17.500000
290,-603.750000,18.125000
291,-608.750000,18.750000
292,-608.750000,19.625000
293,-608.750000,20.250000
294,-612.500000,20.500000
295,-616.250000,22.000000
296,-611.250000,22.875000
297,-612.500000,23.750000
298,-616.250000,24.875000
299,-618.750000,25.375000
300,-617.500000,26.000000
301,-621.250000,27.375000
302,-617.500000,27.875000
303,-617.500000,28.250000
304,-623.750000,29.000000
305,-622.500000,30.000000
306,-626.250000,30.750000
307,-627.500000,31.875000
308,-627.500000,32.875000
309,-628.750000,33.250000
310,-625.000000,34.250000
311,-632.500000,35.250000
312,-630.000000,35.625000
313,-628.750000,36.250000
314,-632.500000,36.500000
315,-635.000000,37.125000
316,-631.250000,38.250000
317,-632.500000,38.500000
318,-637.500000,39.625000
319,-635.000000,39.875000
320,-640.000000,40.875000
321,-642.500000,41.375000
322,-641.250000,42.250000
323,-638.750000,43.250000
324,-645.000000,44.000000
325,-646.250000,44.875000
326,-643.750000,45.375000
327,-643.750000,45.625000
328,-646.250000,47.000000
329,-650.000000,47.625000
330,-650.000000,47.875000
331,-652.500000,48.375000
332,-651.250000,48.750000
333,-650.000000,49.500000
334,-656.250000,50.250000
335,-652.500000,51.250000
336,-657.500000,51.250000
337,-657.500000,52.125000
338,-656.250000,53.000000
339,-657.500000,53.625000
340,-661.250000,54.375000
341,-660.000000,55.250000
342,-658.750000,55.625000
343,-660.000000,56.125000
344,-667.500000,56.750000
345,-663.750000,57.500000
346,-665.000000,58.125000
347,-670.000000,58.375000
348,-668.750000,59.250000
349,-667.500000,59.875000
350,-672.500000,60.750000
351,-670.000000,60.875000
352,-668.750000,61.375000
353,-672.500000,62.375000
354,-676.250000,62.500000
355,-671.250000,63.000000
356,-678.750000,63.500000
357,-677.500000,63.875000
358,-678.750000,64.750000
359,-681.250000,64.875000
360,-681.250000,65.875000
361,-681.250000,66.625000
362,-683.750000,66.625000
363,-686.250000,67.375000
364,-683.750000,67.625000
365,-685.000000,68.375000
366,-687.500000,68.875000
367,-687.500000,69.125000
368,-687.500000,70.250000
369,-692.500000,70.125000
370,-690.000000,70.500000
371,-690.000000,71.125000
372,-695.000000,71.250000
373,-692.500000,72.000000
374,-693.750000,72.500000
375,-698.750000,73.750000
376,-698.750000,74.000000
377,-695.000000,74.500000
378,-701.250000,75.250000
379,-702.500000,75.625000
380,-698.750000,76.375000
381,-705.000000,76.875000
382,-702.500000,77.375000
383,-702.500000,78.000000
384,-707.500000,78.500000
385,-706.250000,78.750000
386,-708.750000,79.500000
387,-711.250000,80.375000
388,-712.500000,81.000000
389,-708.750000,81.000000
390,-711.250000,81.250000
391,-717.500000,81.500000
392,-712.500000,81.625000
393,-713.750000,82.375000
394,-720.000000,82.500000
395,-716.250000,82.750000
396,-717.500000,83.125000
397,-720.000000,83.375000
398,-720.000000,84.000000
399,-720.000000,84.500000
400,-725.000000,84.875000
401,-723.750000,84.875000
402,-725.000000,85.625000
403,-726.250000,86.250000
404,-727.500000,86.500000
405,-727.500000,87.250000
406,-731.250000,87.125000
407,-726.250000,87.625000
408,-728.750000,88.250000
409,-733.750000,88.750000
410,-736.250000,89.000000
411,-731.250000,89.500000
412,-733.750000,90.125000
413,-738.750000,90.500000
414,-738.750000,90.625000
415,-736.250000,91.125000
416,-741.250000,91.750000
417,-743.750000,91.625000
418,-740.000000,92.000000
419,-745.000000,92.000000
420,-745.000000,92.625000
421,-740.000000,93.500000
422,-747.500000,93.250000
423,-750.000000,93.750000
424,-750.000000,93.625000
425,-751.250000,94.250000
426,-748.750000,94.375000
427,-747.500000,95.250000
428,-755.000000,94.875000
429,-752.500000,95.625000
430,-752.500000,96.125000
431,-753.750000,96.875000
432,-756.250000,97.500000
433,-756.250000,98.000000
434,-758.750000,98.125000
435,-761.250000,98.625000
436,-761.250000,99.000000
437,-762.500000,99.250000
438,-762.500000,100.500000
439,-767.500000,100.000000
440,-761.250000,101.000000
441,-766.250000,101.250000
442,-765.000000,101.375000
443,-766.250000,102.000000
444,-767.500000,102.125000
445,-771.250000,102.125000
446,-768.750000,102.500000
447,-771.250000,103.375000
448,-773.750000,103.375000
449,-777.500000,103.375000
450,-773.750000,103.875000
451,-776.250000,104.625000
452,-777.500000,104.625000
453,-777.500000,105.375000
454,-780.000000,105.375000
455,-777.500000,105.875000
456,-781.250000,105.750000
457,-786.250000,106.250000
458,-780.000000,106.375000
459,-783.750000,106.500000
460,-787.500000,107.000000
461,-786.250000,107.000000
462,-785.000000,107.500000
463,-788.750000,108.125000
464,-791.250000,108.000000
465,-787.500000,108.250000
466,-793.750000,109.125000
467,-791.250000,108.875000
468,-791.250000,109.375000
469,-796.250000,110.000000
470,-796.250000,109.375000
471,-796.250000,110.250000
472,-800.000000,110.375000
473,-798.750000,111.125000
474,-798.750000,111.250000
475,-803.750000,111.500000
476,-798.750000,111.875000
477,-803.750000,112.125000
478,-805.000000,112.125000
479,-802.500000,111.625000
480,-803.750000,112.375000
481,-808.750000,112.625000
482,-808.750000,112.750000
483,-807.500000,113.500000
484,-813.750000,113.750000
485,-808.750000,113.875000
486,-815.000000,114.000000
487,-813.750000,114.250000
488,-815.000000,114.750000
489,-813.750000,115.250000
490,-818.750000,115.250000
491,-816.250000,115.625000
492,-817.500000,116.125000
493,-823.750000,116.500000
494,-818.750000,116.375000
495,-823.750000,116.250000
496,-828.750000,116.625000
497,-822.500000,116.875000
498,-825.000000,116.750000
499,-825.000000,117.125000
500,-827.500000,117.250000
501,-826.250000,117.500000
502,-830.000000,117.750000
503,-830.000000,118.250000
504,-830.000000,118.750000
505,-833.750000,119.125000
506,-832.500000,118.750000
507,-833.750000,119.125000
508,-835.000000,119.125000
509,-835.000000,119.500000
510,-836.250000,119.625000
511,-837.500000,120.125000
512,-838.750000,120.250000
513,-841.250000,120.625000
514,-841.250000,121.000000
515,-840.000000,121.250000
516,-845.000000,121.250000
517,-845.000000,121.500000
518,-842.500000,121.500000
519,-847.500000,121.500000
520,-851.250000,121.500000
521,-846.250000,121.750000
522,-847.500000,121.625000
523,-850.000000,122.000000
524,-851.250000,121.875000
525,-852.500000,122.125000
526,-853.750000,122.375000
527,-852.500000,123.000000
528,-856.250000,123.250000
529,-860.000000,123.000000
530,-858.750000,123.875000
531,-861.250000,124.000000
532,-853.750000,124.375000
533,-860.000000,124.500000
534,-861.250000,124.375000
535,-862.500000,125.125000
536,-866.250000,124.750000
537,-862.500000,125.000000
538,-866.250000,125.125000
539,-867.500000,125.250000
540,-870.000000,125.625000
541,-868.750000,125.750000
542,-870.000000,125.875000
543,-871.250000,126.125000
544,-871.250000,126.375000
545,-872.500000,126.375000
546,-878.750000,126.625000
547,-872.500000,126.625000
548,-871.250000,126.500000
549,-881.250000,126.500000
550,-878.750000,126.625000
551,-881.250000,127.000000
552,-882.500000,127.125000
553,-878.750000,128.000000
554,-882.500000,128.000000
555,-883.750000,128.000000
556,-885.000000,128.250000
557,-886.250000,128.125000
558,-887.500000,128.250000
559,-885.000000,128.125000
560,-891.250000,128.500000
561,-890.000000,128.625000
562,-887.500000,128.625000
563,-892.500000,129.000000
564,-892.500000,129.125000
565,-891.250000,129.375000
566,-893.750000,130.250000
567,-895.000000,129.875000
568,-895.000000,130.250000
569,-897.500000,130.125000
570,-896.250000,130.250000
571,-898.750000,130.500000
572,-901.250000,130.125000
573,-898.750000,130.500000
574,-901.250000,130.375000
575,-906.250000,130.125000
576,-903.750000,130.750000
577,-907.500000,130.750000
578,-907.500000,131.125000
579,-907.500000,131.250000
580,-910.000000,131.500000
581,-911.250000,131.750000
582,-906.250000,131.250000
583,-912.500000,131.875000
584,-912.500000,131.875000
585,-911.250000,131.875000
586,-917.500000,132.125000
587,-918.750000,132.125000
588,-916.250000,132.625000
589,-925.000000,132.625000
590,-918.750000,132.625000
591,-920.000000,132.875000
592,-925.000000,133.375000
593,-921.250000,133.500000
594,-922.500000,133.625000
595,-923.750000,133.375000
596,-922.500000,133.750000
597,-926.250000,134.250000
598,-927.500000,134.500000
599,-928.750000,134.375000
600,-931.250000,134.125000
601,-931.250000,134.250000
602,-932.500000,134.125000
603,-933.750000,134.750000
604,-935.000000,134.625000
605,-933.750000,134.375000
606,-936.250000,134.875000
607,-937.500000,135.125000
608,-937.500000,135.375000
609,-940.000000,135.750000
610,-938.750000,135.625000
611,-938.750000,135.875000
612,-943.750000,135.750000
613,-945.000000,136.000000
614,-942.500000,135.875000
615,-946.250000,135.750000
616,-945.000000,136.125000
617,-950.000000,136.375000
618,-948.750000,136.750000
619,-948.750000,136.500000
620,-953.750000,136.125000
621,-951.250000,135.875000
622,-951.250000,136.500000
623,-956.250000,136.625000
624,-956.250000,137.375000
625,-952.500000,137.125000
626,-956.250000,136.750000
627,-952.500000,137.000000
628,-956.250000,137.500000
629,-963.750000,137.250000
630,-960.000000,137.125000
631,-960.000000,136.875000
632,-961.250000,137.500000
633,-961.250000,137.875000
634,-962.500000,137.750000
635,-966.250000,137.875000
636,-965.000000,137.875000
637,-965.000000,137.625000
638,-967.500000,138.125000
639,-967.500000,137.875000
640,-971.250000,137.875000
641,-971.250000,138.000000
642,-971.250000,138.375000
643,-972.500000,138.750000
644,-972.500000,138.750000
645,-973.750000,138.875000
646,-976.250000,138.625000
647,-975.000000,139.375000
648,-977.500000,139.500000
649,-981.250000,139.375000
650,-981.250000,139.375000
651,-983.750000,139.625000
652,-982.500000,139.500000
653,-983.750000,139.750000
654,-986.250000,140.250000
655,-986.250000,139.625000
656,-985.000000,140.125000
657,-987.500000,140.125000
658,-986.250000,140.250000
659,-988.750000,139.875000
660,-991.250000,140.375000
661,-988.750000,140.375000
662,-995.000000,140.250000
663,-995.000000,140.000000
664,-993.750000,139.750000
665,-1000.000000,139.750000
666,-996.250000,139.875000
667,-1000.000000,139.875000
668,-998.750000,140.125000
669,-996.250000,140.375000
670,-1002.500000,140.500000
671,-1000.000000,140.625000
672,-1000.000000,141.000000
673,-1007.500000,141.375000
674,-1002.500000,141.000000
675,-1007.500000,140.875000
676,-1008.750000,141.375000
677,-1007.500000,140.625000
678,-1011.250000,141.250000
679,-1011.250000,141.500000
680,-1003.750000,141.250000
681,-1013.750000,141.500000
682,-1013.750000,141.500000
683,-1016.250000,141.500000
684,-1016.250000,141.250000
685,-1015.000000,141.250000
686,-1020.000000,141.625000
687,-1017.500000,141.250000
688,-1017.500000,141.750000
689,-1022.500000,141.250000
690,-1020.000000,141.375000
691,-1023.750000,141.500000
692,-1026.250000,141.125000
693,-1022.500000,141.500000
694,-1028.750000,140.875000
695,-1025.000000,141.625000
696,-1030.000000,141.375000
697,-1028.750000,141.875000
698,-1023.750000,142.500000
699,-1030.000000,142.000000
700,-1031.250000,141.500000
701,-1031.250000,141.375000
702,-1035.000000,142.000000
703,-1033.750000,142.125000
704,-1036.250000,141.750000
705,-1037.500000,142.000000
706,-1037.500000,142.500000
707,-1037.500000,142.250000
708,-1038.750000,142.375000
709,-1038.750000,142.875000
710,-1041.250000,142.750000
711,-1040.000000,142.625000
712,-1046.250000,142.625000
713,-1046.250000,143.125000
714,-1041.250000,142.750000
715,-1046.250000,142.500000
716,-1048.750000,142.375000
717,-1047.500000,142.500000
718,-1051.250000,142.875000
719,-1050.000000,142.500000
720,-1051.250000,142.750000
721,-1052.500000,142.625000
722,-1050.000000,143.375000
723,-1057.500000,143.000000
724,-1053.750000,142.625000
725,-1055.000000,142.375000
726,-1061.250000,142.375000
727,-1057.500000,142.750000
