Channel              :,CH1,CH2
Frequency            :,19.94Hz,19.90Hz
Period               :,50.16ms,50.24ms
PK-PK                :,683.8mV,39.05mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,1.250000mV,0.050000mV
Time interval        :,40.00000uS,40.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-665.000000,52.450001
2,-665.000000,52.450001
3,-668.750000,52.599998
4,-665.000000,52.599998
5,-662.500000,52.500000
6,-663.750000,52.349998
7,-658.750000,52.500000
8,-655.000000,52.450001
9,-658.750000,52.250000
10,-653.750000,52.450001
11,-656.250000,52.250000
12,-653.750000,52.349998
13,-655.000000,52.200001
14,-646.250000,52.200001
15,-646.250000,52.150002
16,-646.250000,51.950001
17,-646.250000,51.700001
18,-638.750000,51.900002
19,-641.250000,52.049999
20,-641.250000,51.650002
21,-637.500000,51.549999
22,-635.000000,51.599998
23,-635.000000,51.799999
24,-637.500000,51.849998
25,-630.000000,51.950001
26,-632.500000,51.599998
27,-628.750000,51.900002
28,-627.500000,51.849998
29,-626.250000,51.750000
30,-625.000000,51.650002
31,-621.250000,51.549999
32,-621.250000,51.950001
33,-622.500000,51.900002
34,-620.000000,52.000000
35,-616.250000,52.099998
36,-620.000000,51.700001
37,-617.500000,51.750000
38,-610.000000,51.750000
39,-613.750000,51.950001
40,-613.750000,51.650002
41,-608.750000,51.549999
42,-607.500000,52.099998
43,-608.750000,52.099998
44,-606.250000,51.849998
45,-603.750000,52.049999
46,-602.500000,52.099998
47,-603.750000,52.000000
48,-601.250000,51.900002
49,-596.250000,51.450001
50,-600.000000,51.650002
51,-595.000000,51.799999
52,-596.250000,51.650002
53,-591.250000,51.799999
54,-592.500000,51.900002
55,-590.000000,52.150002
56,-586.250000,51.950001
57,-588.750000,52.150002
58,-588.750000,51.950001
59,-582.500000,51.750000
60,-582.500000,51.700001
61,-581.250000,51.599998
62,-583.750000,51.650002
63,-578.750000,51.599998
64,-580.000000,51.500000
65,-577.500000,51.299999
66,-576.250000,51.400002
67,-572.500000,51.750000
68,-575.000000,51.950001
69,-568.750000,51.799999
70,-568.750000,51.849998
71,-568.750000,51.900002
72,-567.500000,51.750000
73,-566.250000,51.849998
74,-561.250000,51.849998
75,-563.750000,51.500000
76,-558.750000,51.549999
77,-557.500000,51.799999
78,-558.750000,52.000000
79,-557.500000,52.150002
80,-555.000000,51.900002
81,-553.750000,52.000000
82,-555.000000,52.349998
83,-548.750000,52.250000
84,-547.500000,52.099998
85,-548.750000,52.049999
86,-546.250000,51.549999
87,-546.250000,52.000000
88,-547.500000,51.799999
89,-545.000000,51.950001
90,-541.250000,51.700001
91,-538.750000,51.650002
92,-538.750000,51.549999
93,-541.250000,51.450001
94,-537.500000,51.700001
95,-533.750000,51.450001
96,-533.750000,51.900002
97,-530.000000,51.950001
98,-530.000000,51.750000
99,-527.500000,51.400002
100,-528.750000,51.400002
101,-522.500000,51.250000
102,-518.750000,51.799999
