Channel              :,CH1,CH2
Frequency            :,19.94Hz,19.90Hz
Period               :,50.16ms,50.24ms
PK-PK                :,678.8mV,56.30mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,1.250000mV,0.050000mV
Time interval        :,40.00000uS,40.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-666.250000,53.799999
2,-666.250000,53.799999
3,-662.500000,53.700001
4,-663.750000,53.700001
5,-662.500000,53.900002
6,-657.500000,53.450001
7,-658.750000,53.700001
8,-657.500000,53.599998
9,-656.250000,53.750000
10,-652.500000,54.049999
11,-653.750000,53.950001
12,-652.500000,53.799999
13,-648.750000,54.049999
14,-647.500000,53.799999
15,-646.250000,53.750000
16,-645.000000,53.549999
17,-641.250000,53.950001
18,-642.500000,54.349998
19,-637.500000,54.099998
20,-641.250000,53.900002
21,-640.000000,54.549999
22,-635.000000,54.349998
23,-633.750000,53.950001
24,-636.250000,53.700001
25,-631.250000,53.750000
26,-630.000000,54.099998
27,-628.750000,54.200001
28,-631.250000,54.000000
29,-625.000000,54.049999
30,-623.750000,54.049999
31,-625.000000,53.950001
32,-622.500000,53.799999
33,-622.500000,53.349998
34,-617.500000,53.700001
35,-618.750000,53.349998
36,-613.750000,53.150002
37,-615.000000,53.400002
38,-617.500000,53.349998
39,-612.500000,53.250000
40,-612.500000,53.549999
41,-608.750000,53.200001
42,-608.750000,53.599998
43,-608.750000,53.549999
44,-605.000000,53.450001
45,-607.500000,53.099998
46,-601.250000,53.049999
47,-598.750000,53.250000
48,-596.250000,53.799999
49,-600.000000,53.799999
50,-595.000000,53.750000
51,-591.250000,53.700001
52,-596.250000,53.950001
53,-593.750000,54.049999
54,-590.000000,53.900002
55,-591.250000,53.950001
56,-588.750000,54.099998
57,-587.500000,54.349998
58,-581.250000,54.000000
59,-586.250000,53.900002
60,-585.000000,53.650002
61,-577.500000,53.650002
62,-580.000000,53.549999
63,-577.500000,53.349998
64,-576.250000,53.349998
65,-573.750000,53.500000
66,-577.500000,53.200001
67,-572.500000,53.299999
68,-570.000000,53.150002
69,-566.250000,53.500000
70,-568.750000,53.500000
71,-570.000000,53.150002
72,-566.250000,53.349998
73,-563.750000,53.549999
74,-565.000000,53.450001
75,-561.250000,53.650002
76,-561.250000,53.599998
77,-560.000000,53.700001
78,-555.000000,54.049999
79,-555.000000,53.849998
80,-556.250000,53.599998
81,-553.750000,53.750000
82,-551.250000,53.849998
83,-551.250000,53.900002
84,-550.000000,54.049999
85,-548.750000,54.299999
86,-545.000000,54.049999
87,-547.500000,53.750000
88,-541.250000,54.049999
89,-542.500000,54.049999
90,-540.000000,53.750000
91,-542.500000,53.349998
92,-537.500000,53.900002
93,-536.250000,53.549999
94,-535.000000,53.599998
95,-533.750000,53.900002
96,-528.750000,53.950001
97,-533.750000,53.500000
98,-528.750000,53.500000
99,-528.750000,53.750000
100,-525.000000,54.049999
101,-521.250000,53.849998
102,-517.500000,53.650002
