Channel              :,CH1,CH2
Frequency            :,9.921Hz,  ?
Period               :,0.101s,  ?
PK-PK                :,558.0mV,19.88mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,0.500000mV,0.125000mV
Time interval        :,40.00000uS,40.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-117.000000,56.750000
2,-117.000000,56.750000
3,-118.000000,57.125000
4,-117.500000,57.125000
5,-114.000000,57.000000
6,-111.000000,56.750000
7,-108.000000,56.500000
8,-108.500000,56.250000
9,-106.500000,56.125000
10,-107.000000,56.500000
11,-104.000000,56.375000
12,-101.500000,56.750000
13,-95.500000,56.625000
14,-93.000000,56.750000
15,-95.000000,56.750000
16,-94.500000,57.000000
17,-94.500000,56.625000
18,-91.000000,56.750000
19,-87.000000,56.875000
20,-85.000000,56.625000
21,-85.000000,56.875000
22,-85.500000,56.625000
23,-85.500000,56.375000
24,-83.000000,56.375000
25,-77.000000,56.250000
26,-74.000000,56.375000
27,-73.000000,56.250000
28,-74.000000,56.625000
29,-74.500000,56.125000
30,-73.500000,56.250000
31,-67.500000,56.250000
32,-66.000000,56.125000
33,-65.000000,56.500000
34,-63.000000,56.875000
35,-66.500000,56.375000
36,-65.000000,56.500000
37,-62.000000,56.375000
38,-59.000000,56.125000
39,-54.000000,56.250000
40,-54.000000,56.125000
41,-53.500000,56.625000
42,-55.000000,56.250000
43,-53.500000,56.250000
44,-50.500000,56.500000
45,-48.000000,56.625000
46,-44.500000,56.625000
47,-45.000000,56.750000
48,-46.000000,56.625000
49,-46.500000,56.250000
50,-43.000000,56.250000
51,-40.000000,56.500000
52,-36.500000,56.250000
53,-37.000000,56.000000
54,-39.000000,56.125000
55,-37.500000,56.125000
56,-36.500000,56.125000
57,-33.500000,56.625000
58,-30.000000,57.000000
59,-27.000000,56.875000
60,-27.500000,56.375000
61,-29.500000,56.500000
62,-28.000000,56.500000
63,-26.000000,56.125000
64,-23.500000,56.625000
65,-20.000000,56.750000
66,-22.500000,56.500000
67,-22.500000,56.375000
68,-21.500000,56.250000
69,-22.000000,56.500000
70,-18.000000,56.500000
71,-15.000000,56.500000
72,-15.000000,56.750000
73,-16.000000,56.750000
74,-17.500000,56.250000
75,-14.500000,56.250000
76,-10.500000,56.000000
77,-9.500000,55.875000
78,-9.000000,56.625000
79,-9.500000,56.750000
80,-11.500000,56.875000
81,-10.000000,56.750000
82,-4.500000,56.625000
83,-4.500000,56.375000
84,-3.000000,56.625000
85,-6.000000,56.125000
86,-6.500000,56.125000
87,-3.000000,56.250000
88,0.500000,56.625000
89,3.500000,56.500000
90,2.000000,56.375000
91,-0.500000,56.125000
92,0.000000,56.500000
93,3.500000,57.000000
94,6.000000,56.625000
95,6.000000,56.500000
96,5.500000,56.375000
97,3.000000,56.250000
98,3.000000,56.125000
99,6.500000,56.500000
100,10.500000,56.625000
101,11.500000,56.500000
102,8.000000,56.875000
103,8.000000,56.375000
104,9.500000,56.375000
105,13.500000,56.625000
106,13.500000,56.625000
107,13.000000,56.250000
108,12.500000,56.125000
109,11.500000,56.250000
110,14.000000,56.375000
111,15.500000,56.250000
112,18.000000,55.875000
113,16.000000,56.500000
114,15.000000,56.375000
115,12.500000,56.625000
116,17.000000,56.625000
117,20.500000,56.500000
118,20.500000,56.625000
119,20.000000,56.250000
120,18.500000,56.250000
121,18.000000,56.000000
122,22.000000,55.875000
123,25.000000,56.125000
124,24.500000,56.000000
125,21.500000,56.000000
126,19.500000,56.375000
127,22.000000,56.625000
128,25.500000,56.625000
129,25.500000,56.625000
130,25.500000,56.625000
131,22.500000,56.500000
132,21.000000,56.625000
133,23.000000,56.375000
134,27.500000,56.875000
135,29.500000,56.875000
136,27.000000,56.625000
137,25.000000,56.625000
138,25.000000,56.375000
139,24.500000,56.250000
140,31.500000,56.375000
141,29.000000,56.625000
142,29.000000,56.625000
143,25.000000,56.750000
144,26.000000,57.000000
145,28.500000,56.625000
146,29.000000,56.625000
147,30.500000,56.375000
148,29.000000,56.250000
149,26.500000,56.375000
150,29.000000,56.875000
151,32.000000,56.625000
152,35.000000,56.500000
153,32.500000,56.375000
154,30.500000,56.250000
155,28.000000,56.500000
156,30.500000,56.875000
157,34.500000,57.125000
158,33.500000,57.625000
159,30.500000,57.125000
160,29.500000,56.750000
161,30.500000,56.625000
162,30.500000,56.750000
163,33.500000,56.750000
164,35.000000,57.125000
165,31.500000,57.375000
166,31.500000,57.250000
167,34.000000,57.375000
168,34.000000,57.250000
169,37.000000,57.375000
170,34.500000,57.625000
171,34.000000,57.250000
172,32.000000,57.500000
173,33.000000,57.250000
174,38.000000,57.875000
175,36.500000,57.875000
176,35.000000,57.125000
177,31.000000,57.125000
178,33.000000,57.125000
179,35.500000,56.750000
180,37.000000,56.750000
181,36.000000,56.875000
182,32.000000,56.875000
183,33.000000,57.000000
184,35.000000,57.375000
185,38.000000,57.125000
186,38.000000,56.875000
187,35.500000,56.625000
188,34.000000,57.000000
189,34.000000,56.625000
190,37.000000,56.250000
191,37.500000,56.500000
192,36.500000,56.750000
193,34.000000,56.625000
194,32.000000,56.750000
195,34.500000,56.750000
196,36.000000,57.125000
197,38.000000,57.000000
198,36.000000,57.125000
199,35.000000,57.375000
200,34.000000,56.875000
201,37.500000,56.500000
202,40.000000,57.000000
203,36.500000,57.500000
204,35.500000,58.000000
205,33.500000,57.500000
206,35.500000,57.500000
207,39.500000,57.500000
208,37.500000,57.500000
209,37.000000,57.250000
210,33.000000,57.750000
211,31.000000,57.875000
212,34.000000,57.625000
213,37.000000,57.500000
214,37.000000,57.750000
215,36.000000,57.750000
216,32.500000,57.500000
217,33.000000,57.375000
218,34.000000,57.750000
219,38.000000,58.125000
220,37.500000,57.750000
221,34.500000,58.000000
222,33.000000,57.875000
223,31.500000,57.625000
224,33.500000,57.750000
225,35.000000,57.375000
226,37.000000,57.375000
227,35.000000,58.125000
228,34.500000,57.750000
